product_name,barcode,category_level1,category_level2,category_level3,category_level4
SWEET DALEE KIDS NAIL LACQUER MERMAID BLUE NO909 12 ML,5200312235090,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE KIDS PINK CLOUD NO910 12 ML,5200312235106,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE NAIL POLISH WHITE UNICORN NO911 12 ML,5200312235113,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE CORAL KISS NO912 12 ML,5200312235120,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE CHERRY LOVE NAIL POLISH NO904 12 ML,5200312235212,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE PEACH CHEEK NAIL POLISH NO908 12 ML,5200312235250,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE WHITE UNICORN KID'S NAIL POLISH 12 ML,5200312235281,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SWEET DALEE CORAL KISS KID'S NAIL POLISH 12 ML,5200312235298,ΟΜΟΡΦΙΑ,NAIL MAKE UP,,
SUMMERLINE AFTER BITE STICK AMMONIA 15 ML,5200312240018,PHARMACEUTICALS,INSECT REPELLENTS,,
SUMMERLINE AFTER BITE SOFT GEL AMMONIA FREE 30 ML,5200312240049,PHARMACEUTICALS,INSECT REPELLENTS,,
PANTHENOL EXTRA CREAM 100 ML,5200312241008 5200312041004 5200312241004,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,WOUND HEALING PROD.,,
PANTHENOL EXTRA HAND CREAM 75 ML,5200312241015,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,HAND & NAIL CARE,HAND CREAMS,
PANTHENOL EXTRA HAND CREAM 25 ML,5200312241039,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,HAND & NAIL CARE,HAND CREAMS,
